245.177.32.83 - - [05/Jun/2025:20:13:30 +0000] "POST /products HTTP/1.1" 200 723 "https://www.google.com/" "python-requests/2.25.1"
136.51.159.44 - - [10/Jun/2025:18:56:57 +0000] "POST /admin/login HTTP/1.1" 200 1808 "https://example.com/blog/news" "python-requests/2.25.1"
192.168.1.100 - - [07/Jun/2025:18:59:56 +0000] "GET /search?q=camera HTTP/1.1" 200 2316 "https://twitter.com/" "python-requests/2.25.1"
220.220.250.76 - - [08/Jun/2025:20:13:06 +0000] "GET /user/462 HTTP/1.1" 200 3169 "https://www.bing.com/" "Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
192.168.1.100 - - [08/Jun/2025:18:00:31 +0000] "GET /images/logo.png HTTP/1.1" 200 1772 "https://example.com/" "curl/7.68.0"
192.168.1.100 - - [07/Jun/2025:07:30:53 +0000] "POST /blog/post/756 HTTP/1.1" 200 3031 "https://www.bing.com/" ""
192.168.1.100 - - [08/Jun/2025:06:08:51 +0000] "GET /sitemap.xml HTTP/1.1" 200 650 "-" ""
192.168.1.100 - - [09/Jun/2025:12:05:53 +0000] "POST /js/main.js HTTP/1.1" 404 943 "https://example.com/" ""
192.168.1.100 - - [09/Jun/2025:00:59:41 +0000] "POST /search HTTP/1.1" 200 3181 "https://www.linkedin.com/" "Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
192.168.1.100 - - [11/Jun/2025:21:00:00 +0000] "POST /contact HTTP/1.1" 200 4511 "https://example.com/blog/blog" "curl/7.68.0"
192.168.1.100 - - [09/Jun/2025:14:20:21 +0000] "POST /search HTTP/1.1" 200 3765 "https://example.com/" "Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)"
192.168.1.100 - - [11/Jun/2025:02:38:48 +0000] "GET /js/main.js HTTP/1.1" 200 1752 "https://www.facebook.com/" "curl/7.68.0"
192.168.1.100 - - [08/Jun/2025:04:47:41 +0000] "GET / HTTP/1.1" 200 3918 "https://example.com/blog/news" "python-requests/2.25.1"
108.90.232.102 - - [19/Jul/2024:07:24:19 +0000] "POST /view?file=2f70726f632f73656c662f656e7669726f6e HTTP/1.1" 200 3369 "-" "sqlmap/1.4.12.1#dev"
108.90.232.102 - - [19/Jul/2024:07:24:16 +0000] "PATCH /view?file=2f6574632f706173737764 HTTP/1.0" 400 286 "-" "sqlmap/1.4.12.1#dev"
108.90.232.102 - - [19/Jul/2024:07:24:20 +0000] "PATCH /login?username=admin&password=%2527%253B%2520EXEC%2520xp_cmdshell%2528%2527whoami%2527%2529%253B-- HTTP/1.1" 500 2957 "-" "sqlmap/1.4.12.1#dev"
108.90.232.102 - - [19/Jul/2024:07:24:22 +0000] "DELETE /login?username=admin&password=JzsgRFJPUCBUQUJMRSB1c2VyczstLQ== HTTP/1.1" 500 3135 "-" "sqlmap/1.4.12.1#dev"
108.90.232.102 - - [19/Jul/2024:07:24:19 +0000] "PATCH /view?file=/etc/passwd HTTP/2.0" 400 50 "http://evil.com" "sqlmap/1.4.12.1#dev"
